File,N,Algorithm,Result,Time(s)
dataset/Random100.txt,70241,A3,1,0.000002600
dataset/Random100.txt,70241,A4,1,0.000001300
dataset/Random100.txt,14281,A1,1,0.000118300
dataset/Random100.txt,14281,A2,1,0.000059300
dataset/Random100.txt,14281,A3,1,0.000001300
dataset/Random100.txt,14281,A4,1,0.000000700
dataset/Random100.txt,90373,A1,1,0.000748300
dataset/Random100.txt,90373,A2,1,0.000374200
dataset/Random100.txt,90373,A3,1,0.000002900
dataset/Random100.txt,90373,A4,1,0.000001400
dataset/Random100.txt,293861,A1,1,0.002433300
dataset/Random100.txt,293861,A2,1,0.001216700
dataset/Random100.txt,293861,A3,1,0.000005100
dataset/Random100.txt,293861,A4,1,0.000002400
dataset/Random100.txt,65587,A1,1,0.000543200
dataset/Random100.txt,65587,A2,1,0.000271600
dataset/Random100.txt,65587,A3,1,0.000002500
dataset/Random100.txt,65587,A4,1,0.000001300
dataset/Random100.txt,88607,A1,1,0.000733800
dataset/Random100.txt,88607,A2,1,0.000366900
dataset/Random100.txt,88607,A3,1,0.000002800
dataset/Random100.txt,88607,A4,1,0.000001400
dataset/Random100.txt,3823,A1,1,0.000031700
dataset/Random100.txt,3823,A2,1,0.000016000
dataset/Random100.txt,3823,A3,1,0.000000700
dataset/Random100.txt,3823,A4,1,0.000000400
dataset/Random100.txt,255349,A1,1,0.003389200
dataset/Random100.txt,255349,A2,1,0.001107300
dataset/Random100.txt,255349,A3,1,0.000006100
dataset/Random100.txt,255349,A4,1,0.000002400
dataset/Random100.txt,37013,A1,1,0.000318200
dataset/Random100.txt,37013,A2,1,0.001627300
dataset/Random100.txt,37013,A3,1,0.000004500
dataset/Random100.txt,37013,A4,1,0.000001700
dataset/Random100.txt,91733,A1,1,0.000965200
dataset/Random100.txt,91733,A2,1,0.000383400
dataset/Random100.txt,91733,A3,1,0.000003700
dataset/Random100.txt,91733,A4,1,0.000001600
dataset/Random100.txt,227593,A1,1,0.001969800
dataset/Random100.txt,227593,A2,1,0.000958200
dataset/Random100.txt,227593,A3,1,0.000005500
dataset/Random100.txt,227593,A4,1,0.000002400
dataset/Random100.txt,67807,A1,1,0.000576100
dataset/Random100.txt,67807,A2,1,0.000284000
dataset/Random100.txt,67807,A3,1,0.000002500
dataset/Random100.txt,67807,A4,1,0.000001300
dataset/Random100.txt,373999,A1,1,0.003124500
