File,N,Algorithm,Result,Time(s)
dataset/Test-1.txt,44753,A3,1,0.000001000
dataset/Test-1.txt,44753,A4,1,0.000000000
dataset/Test-1.txt,114713,A1,1,0.000088000
dataset/Test-1.txt,114713,A2,1,0.000045000
dataset/Test-1.txt,114713,A3,1,0.000000000
dataset/Test-1.txt,114713,A4,1,0.000000000
dataset/Test-1.txt,16189,A1,1,0.000012000
dataset/Test-1.txt,16189,A2,1,0.000006000
dataset/Test-1.txt,16189,A3,1,0.000000000
dataset/Test-1.txt,16189,A4,1,0.000000000
dataset/Test-1.txt,118247,A1,1,0.000176000
dataset/Test-1.txt,118247,A2,1,0.000046000
dataset/Test-1.txt,118247,A3,1,0.000002000
dataset/Test-1.txt,118247,A4,1,0.000000000
dataset/Test-1.txt,210773,A1,1,0.000202000
dataset/Test-1.txt,210773,A2,1,0.000081000
dataset/Test-1.txt,210773,A3,1,0.000001000
dataset/Test-1.txt,210773,A4,1,0.000001000
dataset/Test-1.txt,263573,A1,1,0.000202000
dataset/Test-1.txt,263573,A2,1,0.000101000
dataset/Test-1.txt,263573,A3,1,0.000000000
dataset/Test-1.txt,263573,A4,1,0.000001000
dataset/Test-1.txt,10753,A1,1,0.000009000
dataset/Test-1.txt,10753,A2,1,0.000005000
dataset/Test-1.txt,10753,A3,1,0.000000000
dataset/Test-1.txt,10753,A4,1,0.000000000
dataset/Test-1.txt,249439,A1,1,0.000196000
dataset/Test-1.txt,249439,A2,1,0.000095000
dataset/Test-1.txt,249439,A3,1,0.000001000
dataset/Test-1.txt,249439,A4,1,0.000000000
dataset/Test-1.txt,368789,A1,1,0.000282000
dataset/Test-1.txt,368789,A2,1,0.000141000
dataset/Test-1.txt,368789,A3,1,0.000000000
dataset/Test-1.txt,368789,A4,1,0.000000000
dataset/Test-1.txt,296773,A1,1,0.000227000
dataset/Test-1.txt,296773,A2,1,0.000114000
dataset/Test-1.txt,296773,A3,1,0.000001000
dataset/Test-1.txt,296773,A4,1,0.000000000
dataset/Test-1.txt,4993,A1,1,0.000004000
dataset/Test-1.txt,4993,A2,1,0.000003000
dataset/Test-1.txt,4993,A3,1,0.000000000
dataset/Test-1.txt,4993,A4,1,0.000000000
dataset/Test-1.txt,108959,A1,1,0.000083000
dataset/Test-1.txt,108959,A2,1,0.000041000
dataset/Test-1.txt,108959,A3,1,0.000000000
dataset/Test-1.txt,108959,A4,1,0.000000000
dataset/Test-1.txt,185177,A1,1,0.000147000
dataset/Test-1.txt,185177,A2,1,0.000072000
dataset/Test-1.txt,185177,A3,1,0.000000000
dataset/Test-1.txt,185177,A4,1,0.000000000
dataset/Test-1.txt,359731,A1,1,0.000276000
dataset/Test-1.txt,359731,A2,1,0.000137000
dataset/Test-1.txt,359731,A3,1,0.000000000
dataset/Test-1.txt,359731,A4,1,0.000000000
dataset/Test-1.txt,116657,A1,1,0.000090000
dataset/Test-1.txt,116657,A2,1,0.000045000
dataset/Test-1.txt,116657,A3,1,0.000001000
dataset/Test-1.txt,116657,A4,1,0.000000000
dataset/Test-1.txt,164599,A1,1,0.000134000
dataset/Test-1.txt,164599,A2,1,0.000063000
dataset/Test-1.txt,164599,A3,1,0.000000000
dataset/Test-1.txt,164599,A4,1,0.000001000
dataset/Test-1.txt,214003,A1,1,0.000163000
dataset/Test-1.txt,214003,A2,1,0.000082000
dataset/Test-1.txt,214003,A3,1,0.000001000
dataset/Test-1.txt,214003,A4,1,0.000000000
dataset/Test-1.txt,338231,A1,1,0.000258000
dataset/Test-1.txt,338231,A2,1,0.000129000
dataset/Test-1.txt,338231,A3,1,0.000001000
dataset/Test-1.txt,338231,A4,1,0.000000000
dataset/Test-1.txt,375251,A1,1,0.000287000
dataset/Test-1.txt,375251,A2,1,0.000143000
dataset/Test-1.txt,375251,A3,1,0.000000000
dataset/Test-1.txt,375251,A4,1,0.000000000
dataset/Test-1.txt,50723,A1,1,0.000039000
dataset/Test-1.txt,50723,A2,1,0.000019000
dataset/Test-1.txt,50723,A3,1,0.000000000
dataset/Test-1.txt,50723,A4,1,0.000001000
dataset/Test-1.txt,161729,A1,1,0.000125000
dataset/Test-1.txt,161729,A2,1,0.000062000
dataset/Test-1.txt,161729,A3,1,0.000000000
dataset/Test-1.txt,161729,A4,1,0.000001000
dataset/Test-1.txt,371291,A1,1,0.000284000
dataset/Test-1.txt,371291,A2,1,0.000142000
dataset/Test-1.txt,371291,A3,1,0.000001000
dataset/Test-1.txt,371291,A4,1,0.000001000
dataset/Test-1.txt,363523,A1,1,0.000276000
dataset/Test-1.txt,363523,A2,1,0.000130000
dataset/Test-1.txt,363523,A3,1,0.000001000
dataset/Test-1.txt,363523,A4,1,0.000001000
dataset/Test-1.txt,319699,A1,1,0.000228000
dataset/Test-1.txt,319699,A2,1,0.000124000
dataset/Test-1.txt,319699,A3,1,0.000000000
dataset/Test-1.txt,319699,A4,1,0.000000000
dataset/Test-1.txt,360827,A1,1,0.000258000
dataset/Test-1.txt,360827,A2,1,0.000130000
dataset/Test-1.txt,360827,A3,1,0.000000000
dataset/Test-1.txt,360827,A4,1,0.000000000
dataset/Test-1.txt,333517,A1,1,0.000237000
dataset/Test-1.txt,333517,A2,1,0.000118000
dataset/Test-1.txt,333517,A3,1,0.000000000
dataset/Test-1.txt,333517,A4,1,0.000000000
dataset/Test-1.txt,42013,A1,1,0.000030000
dataset/Test-1.txt,42013,A2,1,0.000015000
